ID;LNG_LOJA;LAT_LOJA;LNG_FRIGO;LAT_FRIGO
boi844;-35,202074;-5,836721;-51,61136276;-27,34427846
boi845;-35,202074;-5,836721;-54,81128912;-22,22723554
boi846;-35,202074;-5,836721;-50,92968093;-17,7945434
boi847;-35,202074;-5,836721;-54,56456909;-19,39552137
boi848;-35,202074;-5,836721;-51,40520808;-26,90316461
boi849;-35,202074;-5,836721;-46,78881014;-23,533612
boi850;-35,202074;-5,836721;-50,0245774;-8,0544324
boi851;-35,202074;-5,836721;-54,81128912;-22,22723554
boi852;-35,264792;-5,92846;-50,01696035;-5,629799735
boi853;-35,264792;-5,92846;-56,11000525;-13,83272569
boi854;-35,264792;-5,92846;-54,9019599;-9,7742482
boi855;-35,264792;-5,92846;-51,37884779;-20,90146352
boi856;-35,264792;-5,92846;-40,24738091;-15,24616719
boi857;-35,264792;-5,92846;-51,40520808;-26,90316461
boi858;-35,264792;-5,92846;-50,5503562;-20,26785305
boi859;-35,264792;-5,92846;-56,0923753;-15,6297368
boi860;-35,219691;-5,872299;-50,92968093;-17,7945434
boi861;-35,228918;-5,884997;-55,41987012;-7,034835913
boi862;-35,228918;-5,884997;-50,01696035;-5,629799735
boi863;-35,228918;-5,884997;-54,61574357;-20,45802999
boi864;-35,228918;-5,884997;-53,35157381;-22,24875931
boi865;-35,34895744;-5,852689182;-48,56737784;-20,55845552
boi866;-3,534930076;-5,851664581;-48,28029255;-17,30058111
boi867;-35,34999097;-5,857983695;-54,55860109;-23,66190156
boi868;-35,33066808;-5,791497115;-35,48996498;-6,852715
boi869;-35,33066808;-5,791497115;-59,2962784;-15,0823624
boi870;-35,33066808;-5,791497115;-50,40546685;-20,2860822
boi871;-35,33066808;-5,791497115;-52,70105691;-23,4797105
boi872;-35,33066808;-5,791497115;-47,47981081;-5,526524025
boi873;-35,33066808;-5,791497115;-52,25269763;-7,233364916
boi875;-35,33514825;-5,789892943;-46,82124801;-22,4360055
boi876;-35,33514825;-5,789892943;-54,61574357;-20,45802999
boi877;-35,33514825;-5,789892943;-50,0245774;-8,0544324
boi878;-35,33514825;-5,789892943;-56,79796312;-14,09555753
boi879;-35,33514825;-5,789892943;-55,41987012;-7,034835913
boi880;-35,33514825;-5,789892943;-49,07147747;-11,72977232
boi881;-35,33514825;-5,789892943;-48,20870525;-7,19132894
boi883;-35,33514825;-5,789892943;-44,05666464;-20,02803775
boi884;-35,33514825;-5,789892943;-46,78881014;-23,533612
boi885;-35,33514825;-5,789892943;-54,56456909;-19,39552137
boi886;-35,33514825;-5,789892943;-47,26580273;-22,822145
boi887;-35,26713707;-5,769976181;-41,88620318;-21,21059108
boi888;-35,26713707;-5,769976181;-46,92209251;-23,449453
boi889;-35,26713707;-5,769976181;-46,92209251;-23,449453
boi890;-35,26713707;-5,769976181;-50,01696035;-5,629799735
boi891;-35,26713707;-5,769976181;-50,0245774;-8,0544324
boi893;-35,26713707;-5,769976181;-54,61574357;-20,45802999
boi894;-35,26713707;-5,769976181;-61,1742191;-11,6959639
boi895;-35,26713707;-5,769976181;-50,57021361;-14,74758948
boi896;-35,26713707;-5,769976181;-50,61128172;-9,364055729
